--- Algorithmic Trading Bot ---
Starting trading engine. Press Ctrl+C to stop.
Market is closed. Waiting for next open in 0d 0h 8m...
Market is closed. Waiting for next open in 0d 0h 7m...
Market is closed. Waiting for next open in 0d 0h 6m...
Market is closed. Waiting for next open in 0d 0h 5m...
Market is closed. Waiting for next open in 0d 0h 4m...
Market is closed. Waiting for next open in 0d 0h 3m...
Market is closed. Waiting for next open in 0d 0h 2m...
Market is closed. Waiting for next open in 0d 0h 1m...
Market is closed. Waiting for next open in 0d 0h 0m...
Market is open. Starting trading engine...
10:16:14 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($558.06)
10:16:45 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($494.16)
10:17:16 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($511.20)
10:17:47 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($579.36)
10:18:17 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($604.92)
10:18:48 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($715.68)
10:19:19 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($954.24)
10:19:50 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($902.86)
10:20:20 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($937.20)
10:20:51 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($928.68)
10:21:22 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($834.96)
10:21:53 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($1,107.60)
10:22:24 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($834.96)
10:22:54 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($834.96)
10:23:25 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($826.44)
10:23:56 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($647.52)
10:24:26 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($741.24)
10:24:57 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($775.32)
10:25:28 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($630.48)
10:25:59 ET | HOLDING  | Side: Buy , Qty:   852, P/L: ($758.28)
10:26:29 ET | EXIT: CONTRARY SIGNAL (SELL) | Submitting order to close 852 shares.
10:27:00 ET | Polling... | Prediction: Sell
10:27:00 ET | SIGNAL: SELL | Submitting market order for 425 shares.
10:27:31 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($140.99)
10:28:02 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($98.49)
10:28:33 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($170.74)
10:29:04 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($213.24)
10:29:34 ET | HOLDING  | Side: Sell, Qty:  -425, P/L: ($225.99)
