Open,High,Low,Close,Volume,Timestamp,VolumeWeightedAveragePrice,NumberOfTransactions,Date
511.88,511.88,509.52,509.73,609887,1735838700000,510.3953,9697,01/02/2025 17:25:00
509.71,509.71,508.45,508.71,737635,1735839000000,509.0324,11088,01/02/2025 17:30:00
508.7,508.86,507.255,507.41,790665,1735839300000,508.4382,9857,01/02/2025 17:35:00
507.47,507.94,506.63,507.25,768626,1735839600000,507.8027,9624,01/02/2025 17:40:00
507.32,507.476,506.12,506.15,601712,1735839900000,506.8602,7518,01/02/2025 17:45:00
506.12,507.7,505.71,507.2049,802192,1735840200000,506.8708,9774,01/02/2025 17:50:00
507.19,508.3,507.1,507.92,382235,1735840500000,507.6947,5643,01/02/2025 17:55:00
507.96,507.97,505.99,506.27,901029,1735840800000,506.868,9422,01/02/2025 18:00:00
506.36,508.21,506.21,507.8679,246523,1735841100000,507.1737,4514,01/02/2025 18:05:00
507.8432,507.8432,506.67,506.82,214620,1735841400000,507.1322,3951,01/02/2025 18:10:00
506.91,507.23,506.14,507.0699,263856,1735841700000,506.6622,4553,01/02/2025 18:15:00
507.08,507.85,506.75,507.24,344992,1735842000000,507.2657,3681,01/02/2025 18:20:00
507.2,507.68,506.78,507.6725,199802,1735842300000,507.2031,3439,01/02/2025 18:25:00
507.62,507.62,506,506.15,283200,1735842600000,506.4373,5651,01/02/2025 18:30:00
506.16,507.33,505.96,506.6,377741,1735842900000,507.9118,4875,01/02/2025 18:35:00
506.55,507.7,506.16,507.5901,339594,1735843200000,506.9788,5238,01/02/2025 18:40:00
507.63,511.2611,506.4,506.7259,256094,1735843500000,507.0816,3205,01/02/2025 18:45:00
506.765,506.83,505.83,506.06,412193,1735843800000,506.2331,5625,01/02/2025 18:50:00
506.14,507.38,506.14,507.28,240826,1735844100000,506.6966,3993,01/02/2025 18:55:00
507.255,508.0298,506.75,507.9705,233941,1735844400000,507.3246,3616,01/02/2025 19:00:00
507.9897,508.58,507.47,507.78,312663,1735844700000,508.0621,4188,01/02/2025 19:05:00
507.87,508.14,507.57,507.67,172280,1735845000000,507.8497,2822,01/02/2025 19:10:00
507.65,508.28,507.52,507.9401,230882,1735845300000,507.8941,3487,01/02/2025 19:15:00
